00시 46분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> <@440735517500506113>
00시 46분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 아니
00시 46분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 여친생김?
00시 46분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 이건아니지
00시 47분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> <@534534395118485506> <@758963978331619331> <@582041127323041813>  <@620609712785850398>
00시 47분 / 병신들 <📩채팅창 | 송찬형 | 620609712785850398> ?
00시 47분 / 병신들 <📩채팅창 | 송찬형 | 620609712785850398> 나도 처음들음
00시 47분 / 병신들 <📩채팅창 | $$$ | 248031898104889345> 허어
00시 47분 / 병신들 <📩채팅창 | $$$ | 248031898104889345> 추카
00시 47분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
00시 48분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 아니 인스타에
00시 51분 / 병신들 <📩채팅창 | 박문균 | 817580757753135104> ㅊㅊ
00시 53분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 맞습니다 ㅋㅋ
00시 53분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 집와서
00시 53분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 2시간내내
00시 53분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 인스타만햇는데
00시 53분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 진짜 저거 본순간
00시 53분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 띵햇음
00시 53분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 하
00시 54분 / 병신들 <📩채팅창 | 박문균 | 817580757753135104> 우리 재호도 할 수 있어
00시 55분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 그러면
00시 55분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 좋겟다
00시 55분 / 병신들 <📩채팅창 | 박문균 | 817580757753135104> 웹툰으로 만족하렴
00시 56분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 아니
00시 56분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 기만하네....
00시 56분 / 병신들 <📩채팅창 | 박문균 | 817580757753135104> <@!758963978331619331> 실제로 양민서씨
00시 56분 / 병신들 <📩채팅창 | 박문균 | 817580757753135104> 어캐 생기셨나요
00시 56분 / 병신들 <📩채팅창 | 박문균 | 817580757753135104> 궁금하네 갑자기
01시 01분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> <@582041127323041813>
01시 01분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 생각해보니
01시 01분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 난 꿀릴게없음 ㅅㄱ
01시 01분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> ?
01시 02분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 내여자는없지만
