00시 01분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> ㅁㅇㄹ
11시 19분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> #챔피언
11시 19분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> #챔피언 이즈리얼
11시 19분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 아 뭔 정복자임
11시 19분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 당연히 만능의 돌이지
18시 30분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!758963978331619331> <@!789833981403201576>
18시 30분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 롤하자
18시 30분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 롤
18시 33분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!758963978331619331> 디코하자 디코
18시 33분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> ㄱㄷ
18시 34분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 오이오이
18시 34분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 죽고싶냐구
18시 34분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 싶은거냐구
18시 35분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331> <@!758963978331619331>
18시 36분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!789833981403201576> 롤하자
18시 36분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!789833981403201576>
18시 36분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!789833981403201576>
18시 36분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!789833981403201576>
18시 36분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!789833981403201576>
18시 36분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!789833981403201576>
22시 32분 / 병신들 <📊명령어 | 하리하루 | 758963978331619331> =p https://www.youtube.com/watch?v=MH-I_U5lsrM
22시 32분 / [정보] 하리하루이(가) '=p https://www.youtube.com/watch?v=MH-I_U5lsrM' 메시지를 '=p https://www.youtube.com/watch?v=MH-I_U5lsrM' 로 수정
23시 54분 / 병신들 <📊명령어 | 하리하루 | 758963978331619331> =p https://www.youtube.com/watch?v=MH-I_U5lsrM
23시 54분 / [정보] 하리하루이(가) '=p https://www.youtube.com/watch?v=MH-I_U5lsrM' 메시지를 '=p https://www.youtube.com/watch?v=MH-I_U5lsrM' 로 수정
