00시 03분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =skip
00시 03분 / 병신들 <📊명령어 | 지우 | 574119640435785779> =p 아이와 나의바다 가사
00시 03분 / 병신들 <📊명령어 | 지우 | 574119640435785779> 1
00시 10분 / 병신들 <📊명령어 | 지우 | 574119640435785779> =p 나의 사춘기에게
00시 10분 / 병신들 <📊명령어 | 지우 | 574119640435785779> 1
00시 19분 / [정보] 지우이(가) '' 메시지를 삭제
00시 39분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 아퍼
00시 39분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
00시 39분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 끝이라고 말하지마
00시 39분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
00시 40분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 시간이 들겠지
00시 40분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
00시 59분 / 병신들 <📩채팅창 | 지우 | 574119640435785779> 다 컷
01시 13분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> https://www.youtube.com/watch?v=3LiZot8dAP8
01시 13분 / [정보] 장선효이(가) 'https://www.youtube.com/watch?v=3LiZot8dAP8' 메시지를 'https://www.youtube.com/watch?v=3LiZot8dAP8' 로 수정
01시 25분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 시간이 들겠지
01시 25분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
01시 27분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p https://youtu.be/HQcY3g_bdF0
01시 27분 / [정보] 박병현이(가) '=p https://youtu.be/HQcY3g_bdF0' 메시지를 '=p https://youtu.be/HQcY3g_bdF0' 로 수정
01시 27분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p  https://youtu.be/hpNmi39B0WQ
01시 27분 / [정보] 박병현이(가) '=p  https://youtu.be/hpNmi39B0WQ' 메시지를 '=p  https://youtu.be/hpNmi39B0WQ' 로 수정
01시 27분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p https://www.youtube.com/watch?v=olWvy0PiLfA
01시 27분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p https://www.youtube.com/watch?v=_n8N8oYAqMk
01시 27분 / [정보] 박병현이(가) '=p https://www.youtube.com/watch?v=_n8N8oYAqMk' 메시지를 '=p https://www.youtube.com/watch?v=_n8N8oYAqMk' 로 수정
01시 30분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =kip
01시 30분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =skip
01시 31분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> .p 시간이 들겠지
01시 31분 / [정보] 박병현이(가) '.p 시간이 들겠지' 메시지를 삭제
01시 31분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =skip
01시 31분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> ㅅㅂ
03시 15분 / 병신들 <📩채팅창 | 박병현 | 690902795452416043> 네~ 그렇다네요 ~
03시 37분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 비교당하는 아이
03시 37분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 2
03시 47분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p if i die ash
03시 47분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
03시 48분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 시간이 들겠지 1시간
03시 48분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
04시 37분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 씨발
04시 37분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 벌레타입
04시 37분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 존나빡세네씨발
04시 37분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 자진않고
04시 37분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 포켓몬중이었는데
04시 47분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 씨발
04시 47분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 안해
04시 47분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 잔다
04시 47분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> ㅂ
11시 48분 / 병신들 <📩채팅창 | 박병현 | 690902795452416043> 아 그러냐 디코에ㅜ없고 답장도 없길래 자는줄
15시 39분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> dkTlqkf
15시 39분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 왜이렇게됐노
16시 05분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 자
16시 06분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 키보드에서
16시 06분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> end 를
16시 06분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 눌러볼까?
16시 45분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!344150810172588032> 런이냐?
20시 00분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!758963978331619331> <@!620609712785850398> 롤핮
20시 01분 / 병신들 <📩채팅창 | 송찬형 | 620609712785850398> 부캐 후순위대기열푸는중
20시 01분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 대기열 오랜만이네
20시 02분 / 병신들 <📩채팅창 | 송찬형 | 620609712785850398> 나도 처음해봄
20시 02분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 닷지함?
20시 02분 / 병신들 <📩채팅창 | 송찬형 | 620609712785850398> 친구빌려줬는데
20시 02분 / 병신들 <📩채팅창 | 송찬형 | 620609712785850398> 이놈이 계속 닺지함
20시 02분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
20시 02분 / 병신들 <📩채팅창 | 송찬형 | 620609712785850398> 할것도 없어서 푸는중
20시 02분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 그거 꽤 오래걸리던데
20시 02분 / 병신들 <📩채팅창 | 송찬형 | 620609712785850398> ㅇㅇ20분
20시 03분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 🙉
20시 03분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 몇분남음?
20시 03분 / 병신들 <📩채팅창 | 송찬형 | 620609712785850398> 마지막1분30초남음
20시 03분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> ㅋㅋㅋㅋㅋㅋ
20시 10분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> <@!620609712785850398> 마이크 일부러 끈거?
