00시 34분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 괜찮아도 괜찮아 1시간
00시 34분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
00시 58분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 괜찮아도 괜찮아 1시간
00시 58분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
00시 58분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =skip
01시 45분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =skip
01시 45분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =skip
01시 59분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 괜찮아도 괜찮아
02시 09분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 괜찮아도 괜찮아
02시 09분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 5
03시 18분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 그 밀탱크
03시 18분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 입갤 ㄷㄷ,,
03시 19분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 아니씨발
03시 19분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 뭔 다
03시 19분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 풀죽음이야
03시 19분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 개좆같네
03시 20분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 괜찮아도 괜찮아 1시간
03시 20분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
03시 21분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 시껴
03시 56분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 시간이 들겠지
03시 56분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 3
15시 13분 / [정보] ======================
15시 13분 / [정보] < 구동 완료 >
15시 13분 / [정보] ======================
17시 53분 / [정보] ======================
17시 53분 / [정보] < 구동 완료 >
17시 53분 / [정보] ======================
20시 18분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 진짜 미드트린 나오네
20시 34분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 지금
20시 34분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 첫판인가?
20시 34분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> ㅇㅇ
20시 37분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 동준좌: 자세를 고처 앉아
20시 38분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 쵸비
20시 38분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> ㄷㄷ
20시 38분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 쵸비
20시 38분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 미쳤네
20시 38분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 트린을
20시 38분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 저맛에
20시 38분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 쓰는건가
20시 39분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 트린 개사기챔 ㄷㄷ
20시 39분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 그냥 어거지로 들어가서 따네
20시 42분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 쵸비 cs뭐냐
20시 43분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 개사긴데?
20시 43분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 트린 ㅋㅋㅋㅋ
20시 43분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 저거 필밴이다 ㅋㅋㅋ
20시 44분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 아
20시 44분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 짤렷네
20시 44분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 이거는 너무 방심했다
20시 44분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 이거는 많이 아쉽네
20시 44분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 근데 그라가스가 잘하긴 함
20시 49분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 트린 탈론인데
20시 49분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> ?
20시 49분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> e쿨 왤캐
20시 49분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 빠르냐
20시 49분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 아니
20시 49분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 요즘 암살자 왜 다
20시 49분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 탈론아니냐고 ㅋㅋㅋ
20시 49분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 선혈가냐고
20시 49분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> ㅋㅋ
20시 50분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 개망했는데?
20시 50분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 어카냐
20시 50분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 론바
20시 50분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 나갈ㄹ
20시 50분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 근데
20시 50분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 잭스
20시 50분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 왤케 잘함
20시 51분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 키아나 궁이
20시 51분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 잘들어갔네
20시 51분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 이거 너무 급발진했는데
20시 51분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 세주가
20시 51분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 키아나궁도 잘들어 가기도 했도
20시 52분 / [정보] 장선효이(가) '키아나궁도 잘들어 가기도 했도' 메시지를 '키아나궁도 잘들어 가기도 했고' 로 수정
20시 52분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 잭스 어케막음
20시 53분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 못막음
20시 55분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 와
20시 55분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 잯
20시 55분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 잭스
20시 55분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 애반데
20시 55분 / 병신들 <📩채팅창 | 장선효 | 534534395118485506> 개잘하는데
20시 55분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 괜찮아도 괜찮아 1시간
20시 55분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
20시 55분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 알람
20시 55분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 못끄나
20시 56분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> 바다용까지 나가면 잭스 아예안죽을듯
