19시 30분 / [정보] c:\Users\82105\Desktop\Project\Discord\DiscordBot_Gwen\cogs\AdminCommand.py 로드 완료
19시 30분 / [정보] c:\Users\82105\Desktop\Project\Discord\DiscordBot_Gwen\cogs\event.py 로드 완료
19시 30분 / [정보] c:\Users\82105\Desktop\Project\Discord\DiscordBot_Gwen\cogs\Favorability.py 로드 완료
19시 30분 / [정보] c:\Users\82105\Desktop\Project\Discord\DiscordBot_Gwen\cogs\NormalCommandBot.py 로드 완료
19시 30분 / [정보] c:\Users\82105\Desktop\Project\Discord\DiscordBot_Gwen\cogs\SearchCommand.py 로드 완료
19시 30분 / [정보] ======================
19시 30분 / [정보] < 구동 완료 >
19시 30분 / [정보] ======================
19시 30분 / 병신들 <📩채팅창 | 하리하루 | 758963978331619331> #서폿 그라가스
19시 30분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> #서폿 그라가스
19시 30분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> #서폿  주아엄마
19시 30분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 이게왜없냐
19시 30분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> ㄲㅂ
20시 27분 / 병신들 <📩채팅창 | 지우 | 574119640435785779> <@!487949939566182400>
20시 27분 / 병신들 <📩채팅창 | 붕어 | 487949939566182400> 왜
20시 27분 / 병신들 <📩채팅창 | 붕어 | 487949939566182400> ?
20시 27분 / 병신들 <📩채팅창 | 지우 | 574119640435785779> 걍 해봄ㅋㅋㅋ
20시 27분 / 병신들 <📩채팅창 | 붕어 | 487949939566182400> 😕😕
20시 27분 / 병신들 <📩채팅창 | 지우 | 574119640435785779> 잼있당
20시 27분 / 병신들 <📩채팅창 | 지우 | 574119640435785779> <@!496627750858260480>
20시 27분 / 병신들 <📩채팅창 | 지우 | 574119640435785779> 확진자 누군지 알았음ㅅㅂ
20시 27분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 알려줘
20시 27분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 3반에
20시 27분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 썅년이라던데
20시 27분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 갠디
20시 27분 / 병신들 <📩채팅창 | T̴͖̃r̵̍͘1̸͑͠á̸́ỉ̶̍ň̴̒a̴̍͒ | 496627750858260480> 갠디
20시 28분 / 병신들 <📩채팅창 | 김강냉 | 582041127323041813> 맞나
20시 28분 / 병신들 <📩채팅창 | 하헛 | 721719803978580029> 누ㅜ?
20시 29분 / 병신들 <📩채팅창 | 붕어 | 487949939566182400> 엄
20시 43분 / 병신들 <📩채팅창 | 지우 | 574119640435785779> <@582041127323041813>
20시 44분 / 병신들 <📩채팅창 | 지우 | 574119640435785779> 안갈래
22시 37분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 내 마음에
22시 37분 / 병신들 <📩채팅창 | MURYAN | 397036116676575233> 불이붙엇다
23시 23분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p blueberry faygo
23시 23분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
23시 48분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p rainy day 파테코
23시 48분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
23시 48분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> =p 사이렌
23시 48분 / 병신들 <📊명령어 | 박병현 | 690902795452416043> 1
